d_m,x_m,y_m,psi_rad,k_radpm,v_mps,a_mps2
50.7468561,35.9372469,34.3385508,0.7574419,0.2084854,6.8023876,1.4098128
50.9466469,35.7970202,34.4808706,0.7982641,0.2002690,6.8436695,1.6657062
51.1464376,35.6512255,34.6174498,0.8375362,0.1929368,6.8921258,1.8671346
51.3462284,35.5002712,34.7483114,0.8753792,0.1858962,6.9460399,2.0476727
51.5460192,35.3445574,34.8734802,0.9118298,0.1790215,7.0046900,2.2162093
51.7458100,35.1844695,34.9929979,0.9469322,0.1724228,7.0676190,2.3692410
51.9456007,35.0203544,35.1069320,0.9807795,0.1666463,7.1342795,2.4807238
52.1453915,34.8525448,35.2153340,1.0135473,0.1613989,7.2034155,2.5676141
52.3451823,34.6813201,35.3182746,1.0452646,0.1561266,7.2742812,2.6600983
52.5449730,34.5069678,35.4158245,1.0759451,0.1510178,7.3469785,2.7482511
52.7447638,34.3297611,35.5080649,1.1056183,0.1460643,7.4213370,2.8328495
52.9445546,34.1499230,35.5951024,1.1343194,0.1412515,7.4972126,2.9149607
53.1443454,33.9677061,35.6770278,1.1620673,0.1365172,7.5744942,2.9983208
53.3441361,33.7833356,35.7539477,1.1888740,0.1318696,7.6531716,3.0825563
53.5439269,33.5969764,35.8259928,1.2147820,0.1274757,7.7332250,3.1577920
53.7437177,33.4088556,35.8932637,1.2398210,0.1232038,7.8143818,3.2320915
53.9435084,33.2191527,35.9558784,1.2640160,0.1190323,7.8965846,3.3067729
54.1432992,33.0279801,36.0139749,1.2873848,0.1148887,7.9798103,0.8074119
54.3430900,32.8355414,36.0676632,1.3099311,0.1108229,8.0000000,0.0000000
54.5428808,32.6419800,36.1170730,1.3316694,0.1068169,8.0000000,0.0000000
54.7426715,32.4473697,36.1623499,1.3526142,0.1028339,8.0000000,0.0000000
54.9424623,32.2518907,36.2036146,1.3727663,0.0989242,8.0000000,0.0000000
55.1422531,32.0556521,36.2410046,1.3921456,0.0950980,8.0000000,0.0000000
55.3420438,31.8586986,36.2746674,1.4107511,0.0911244,8.0000000,0.0000000
55.5418346,31.6611912,36.3047354,1.4285426,0.0867690,8.0000000,0.0000000
55.7416254,31.4632032,36.3313749,1.4453936,0.0819304,8.0000000,0.0000000
55.9414162,31.2647730,36.3547778,1.4612198,0.0764468,8.0000000,0.0000000
56.1412069,31.0660266,36.3751454,1.4759402,0.0708886,8.0000000,0.0000000
56.3409977,30.8670243,36.3926953,1.4895413,0.0652755,8.0000000,0.0000000
