d_m,x_m,y_m,psi_rad,k_radpm,v_mps,a_mps2
26.1866932,20.8766235,18.1602352,-0.9284610,-0.0167834,8.0000000,0.0000000
26.3865916,21.0368916,18.2797209,-0.9318757,-0.0173793,8.0000000,0.0000000
26.5864900,21.1975645,18.3986420,-0.9354091,-0.0179727,8.0000000,0.0000000
26.7863885,21.3586617,18.5169838,-0.9390608,-0.0185637,8.0000000,0.0000000
26.9862869,21.5202033,18.6347317,-0.9428303,-0.0191487,8.0000000,0.0000000
27.1861853,21.6821905,18.7518575,-0.9467158,-0.0197236,8.0000000,0.0000000
27.3860837,21.8446395,18.8683447,-0.9507153,-0.0202914,8.0000000,0.0000000
27.5859821,22.0075563,18.9841692,-0.9548346,-0.0209286,8.0000000,0.0000000
27.7858806,22.1709482,19.0993059,-0.9590682,-0.0212375,8.0000000,0.0000000
27.9857790,22.3348483,19.2137640,-0.9632949,-0.0210432,8.0000000,0.0000000
28.1856774,22.4991879,19.3275066,-0.9674403,-0.0203941,8.0000000,0.0000000
28.3855758,22.6640276,19.4406042,-0.9714502,-0.0197694,8.0000000,0.0000000
28.5854742,22.8293230,19.5530558,-0.9753524,-0.0192696,8.0000000,0.0000000
28.7853727,22.9950098,19.6648430,-0.9791492,-0.0187161,8.0000000,0.0000000
28.9852711,23.1611460,19.7760310,-0.9828353,-0.0181685,8.0000000,0.0000000
29.1851695,23.3276878,19.8866168,-0.9864150,-0.0176448,8.0000000,0.0000000
29.3850679,23.4945888,19.9965948,-0.9898895,-0.0171222,8.0000000,0.0000000
29.5849664,23.6618933,20.1060193,-0.9932606,-0.0166059,8.0000000,0.0000000
29.7848648,23.8295567,20.2148854,-0.9965295,-0.0160987,8.0000000,0.0000000
29.9847632,23.9975518,20.3232000,-0.9996973,-0.0155982,8.0000000,0.0000000
30.1846616,24.1659044,20.4310034,-1.0027660,-0.0151039,8.0000000,0.0000000
30.3845600,24.3345746,20.5382935,-1.0057364,-0.0146161,8.0000000,0.0000000
30.5844585,24.5035511,20.6450861,-1.0086098,-0.0141343,8.0000000,0.0000000
30.7843569,24.6728396,20.7514078,-1.0113877,-0.0136576,8.0000000,0.0000000
30.9842553,24.8424111,20.8572627,-1.0140706,-0.0131860,8.0000000,0.0000000
31.1841537,25.0122631,20.9626715,-1.0166597,-0.0127187,8.0000000,0.0000000
31.3840521,25.1823823,21.0676480,-1.0191559,-0.0122553,8.0000000,0.0000000
31.5839506,25.3527570,21.1722067,-1.0215596,-0.0117950,8.0000000,0.0000000
31.7838490,25.5233843,21.2763673,-1.0238717,-0.0113371,8.0000000,0.0000000
31.9837474,25.6942346,21.3801333,-1.0260924,-0.0108815,8.0000000,0.0000000
32.1836458,25.8653204,21.4835335,-1.0282222,-0.0104269,8.0000000,0.0000000
32.3835442,26.0366272,21.5865805,-1.0302613,-0.0099727,8.0000000,0.0000000
32.5834427,26.2081139,21.6892707,-1.0322093,-0.0095191,8.0000000,0.0000000
32.7833411,26.3798220,21.7916500,-1.0340668,-0.0090639,8.0000000,0.0000000
32.9832395,26.5517160,21.8937185,-1.0358332,-0.0086071,8.0000000,0.0000000
33.1831379,26.7237480,21.9954689,-1.0375078,-0.0081491,8.0000000,0.0000000
33.3830364,26.8959913,22.0969660,-1.0390908,-0.0076869,8.0000000,0.0000000
33.5829348,27.0683825,22.1981937,-1.0405811,-0.0072212,8.0000000,0.0000000
33.7828332,27.2408709,22.2991439,-1.0419775,-0.0067523,8.0000000,0.0000000
33.9827316,27.4135619,22.3999000,-1.0432800,-0.0062766,8.0000000,0.0000000
34.1826300,27.5863613,22.5004290,-1.0444868,-0.0057955,8.0000000,0.0000000
34.3825285,27.7592187,22.6007239,-1.0455966,-0.0053092,8.0000000,0.0000000
34.5824269,27.9322671,22.7008843,-1.0466086,-0.0048138,8.0000000,0.0000000
34.7823253,28.1053855,22.8008630,-1.0475210,-0.0043112,8.0000000,0.0000000
34.9822237,28.2785242,22.9006546,-1.0483317,-0.0038017,8.0000000,0.0000000
35.1821221,28.4518358,23.0003704,-1.0490399,-0.0032810,8.0000000,0.0000000
35.3820206,28.6251825,23.0999553,-1.0496432,-0.0027516,8.0000000,0.0000000
35.5819190,28.7985131,23.1994041,-1.0501394,-0.0022138,8.0000000,0.0000000
35.7818174,28.9719883,23.2988339,-1.0505272,-0.0016636,8.0000000,0.0000000
35.9817158,29.1454695,23.3981906,-1.0508040,-0.0011035,8.0000000,0.0000000
36.1816143,29.3188993,23.4974671,-1.0509678,-0.0005339,8.0000000,0.0000000
36.3815127,29.4924326,23.5967783,-1.0510165,0.0000482,8.0000000,0.0000000
36.5814111,29.6659499,23.6960826,-1.0509478,0.0006408,8.0000000,0.0000000
36.7813095,29.8393815,23.7953673,-1.0507598,0.0012429,8.0000000,0.0000000
36.9812079,30.0128617,23.8947372,-1.0504501,0.0018566,8.0000000,0.0000000
37.1811064,30.1863107,23.9941748,-1.0500168,0.0024800,8.0000000,0.0000000
37.3810048,30.3596403,24.0936581,-1.0494582,0.0031119,8.0000000,0.0000000
37.5809032,30.5329518,24.1932744,-1.0487721,0.0037528,8.0000000,0.0000000
37.7808016,30.7062210,24.2930396,-1.0479571,0.0044010,8.0000000,0.0000000
37.9807000,30.8793379,24.3929199,-1.0470073,0.0052222,8.0000000,0.0000000
38.1805985,31.0523588,24.4929873,-1.0458417,0.0064427,8.0000000,0.0000000
38.3804969,31.2253077,24.5933210,-1.0442707,0.0095745,8.0000000,0.0000000
38.5803953,31.3980059,24.6939519,-1.0419977,0.0133094,8.0000000,0.0000000
38.7802937,31.5704113,24.7950286,-1.0389275,0.0174201,8.0000000,0.0000000
38.9801922,31.7425456,24.8967536,-1.0350311,0.0215580,8.0000000,0.0000000
39.1800906,31.9141879,24.9991886,-1.0303072,0.0257094,8.0000000,0.0000000
39.3799890,32.0852769,25.1024892,-1.0247537,0.0299063,8.0000000,0.0000000
39.5798874,32.2557940,25.2068471,-1.0182634,0.0350203,8.0000000,0.0000000
39.7797858,32.4255410,25.3123807,-1.0106134,0.0424561,8.0000000,0.0000000
39.9796843,32.5943888,25.4193543,-1.0012310,0.0515399,8.0000000,0.0000000
40.1795827,32.7621242,25.5280649,-0.9899486,0.0613199,8.0000000,0.0000000
40.3794811,32.9284720,25.6387935,-0.9767352,0.0708794,8.0000000,0.0000000
40.5793795,33.0932875,25.7519026,-0.9616373,0.0801147,8.0000000,0.0000000
40.7792779,33.2562868,25.8676464,-0.9447343,0.0889019,8.0000000,0.0000000
40.9791764,33.4170460,25.9861477,-0.9261527,0.0970555,8.0000000,0.0000000
41.1790748,33.5756160,26.1078477,-0.9059967,0.1045039,8.0000000,0.0000000
41.3789732,33.7317347,26.2329328,-0.8844069,0.1111942,8.0000000,0.0000000
41.5788716,33.8846199,26.3610976,-0.8616823,0.1163564,8.0000000,0.0000000
41.7787700,34.0347954,26.4930476,-0.8379862,0.1209523,8.0000000,0.0000000
41.9786685,34.1819457,26.6287881,-0.8132689,0.1258608,8.0000000,0.0000000
42.1785669,34.3249127,26.7674322,-0.7883184,0.1235920,8.0000000,0.0000000
42.3784653,34.4650415,26.9101817,-0.7642245,0.1146042,8.0000000,0.0000000
42.5783637,34.6018954,27.0561184,-0.7428729,0.0991552,8.0000000,0.0000000
42.7782622,34.7355537,27.2044787,-0.7239488,0.0924860,8.0000000,0.0000000
42.9781606,34.8670601,27.3560128,-0.7056343,0.0902667,8.0000000,0.0000000
43.1780590,34.9952836,27.5092730,-0.6877926,0.0886276,8.0000000,0.0000000
43.3779574,35.1210873,27.6651859,-0.6700600,0.0885152,8.0000000,0.0000000
43.5778558,35.2437676,27.8228714,-0.6522629,0.0899913,8.0000000,0.0000000
43.7777543,35.3641537,27.9834938,-0.6340592,0.0913393,8.0000000,0.0000000
43.9776527,35.4809011,28.1453562,-0.6155799,0.0935420,8.0000000,0.0000000
44.1775511,35.5950449,28.3100024,-0.5967722,0.0945482,8.0000000,0.0000000
44.3774495,35.7062605,28.4770982,-0.5777689,0.0936766,8.0000000,0.0000000
44.5773479,35.8132836,28.6446101,-0.5593749,0.0905496,8.0000000,0.0000000
44.7772464,35.9181427,28.8153965,-0.5422479,0.0799127,8.0000000,0.0000000
44.9771448,36.0204577,28.9881321,-0.5279265,0.0604695,8.0000000,-3.6342177
45.1770432,36.1200294,29.1609109,-0.5187250,0.0290524,7.9086694,-11.4541520
45.3769416,36.2183810,29.3337837,-0.5172461,-0.0126620,7.6136534,-10.7419967
45.5768401,36.3172631,29.5066744,-0.5228664,-0.0438187,7.3261928,-10.4981972
45.7767385,36.4178144,29.6792514,-0.5324893,-0.0507346,7.0339146,-10.2339842
45.9766369,36.5189533,29.8501253,-0.5323769,0.0592928,6.7367975,-6.5093966
46.1765353,36.6184551,30.0225913,-0.5112349,0.1487195,6.5407954,-4.3363568
46.3764337,36.7135304,30.1991560,-0.4746963,0.2070784,6.4068980,-3.1518981
46.5763322,36.8015066,30.3800795,-0.4292678,0.2427604,6.3077907,-2.5440894
46.7762306,36.8799073,30.5632636,-0.3788164,0.2642711,6.2266447,-2.0876719
46.9761290,36.9487990,30.7510071,-0.3240196,0.2816681,6.1592581,-1.6428198
47.1760274,37.0071327,30.9428505,-0.2657536,0.2982043,6.1057076,-1.3312982
47.3759258,37.0537892,31.1372087,-0.2050223,0.3107057,6.0619648,-1.1165690
47.5758243,37.0883453,31.3343868,-0.1416903,0.3201911,6.0250325,-0.8588245
47.7757227,37.1101594,31.5332028,-0.0764879,0.3302219,5.9964707,-0.7269099
47.9756211,37.1188222,31.7329536,-0.0099876,0.3364450,5.9721893,-0.6434442
48.1755195,37.1140172,31.9334878,0.0579245,0.3388893,5.9506132,-0.6305588
48.3754180,37.0956616,32.1324955,0.1261625,0.3413192,5.9293931,-0.7165293
48.5753164,37.0639391,32.3290446,0.1938279,0.3400326,5.9051872,-0.5680494
